home;categorias;subcategoria;Segmento;nombre producto;código:;Descripción Breve:;Color:;ruta imagen
megafiestasyumbo.com/;rimax/;Mesas/;Auxiliares/;Mesa centro redonda baru;12957-rx;Mesa Redonda Barú Rimax, ideal para aprovechar espacios pequeños con un diseño elegante de imitación madera. Fácil de armar sin herramientas, limpiar, plegar y guardar, optimizando el espacio. Producto 100% reciclable. Medidas: 60,7 cm de ancho × 60,7 cm de profundidad × 43,5 cm de alto. Garantía de 3 años con Rimax.;taupe;mesa-centro-redonda-baru-12957-rx.webp
megafiestasyumbo.com/;rimax/;Mesas/;Auxiliares/;Mesa plegable rectangular baru;12564-rx;Mesa Rimax con diseño elegante de imitación madera, ideal para aprovechar espacios pequeños con calidez y funcionalidad. Fácil de armar sin herramientas, limpiar, plegar y guardar, optimizando el espacio. Producto 100% reciclable, ideal para interiores y exteriores. Medidas: 65 cm de ancho × 50 cm de profundidad × 74,7 cm de alto. Garantía de 3 años con Rimax.;mocca;mesa-plegable-rectangular-baru-12564-rx.webp
megafiestasyumbo.com/;rimax/;Mesas/;comedor/;Mesa banquetera;13962-rx;Mesa Banquetera Grande Rimax, ideal para eventos, reuniones y celebraciones, con amplia superficie para varios invitados. Diseño plegable que facilita el almacenamiento y transporte, perfecta para interiores y exteriores. Fabricada con materiales resistentes para soportar el uso frecuente. Medidas: 183 cm de largo × 74 cm de ancho × 74 cm de alto. Garantía de 3 años con Rimax.;blanco;mesa-banquetera-13962-rx.webp
megafiestasyumbo.com/;rimax/;Mesas/;comedor/;Mesa eterna familiar;8815-rx;Mesa Eterna Familiar Rimax, ideal para reuniones familiares y sociales, con diseño amplio, robusto y resistente para mayor durabilidad. Perfecta para interiores y exteriores, se adapta a comedores, patios y jardines. Medidas: 150,5 cm de ancho × 80,5 cm de profundidad × 72,5 cm de alto. Garantía de 3 años con Rimax.;wengue;mesa-eterna-familiar-8815-rx.webp
megafiestasyumbo.com/;rimax/;Mesas/;comedor/;Mesa caribe;10807-rx;Mesa Caribe Rimax, ideal para interiores y exteriores, reuniones familiares, comidas y espacios como patios, jardines y terrazas. Fabricada en plástico resistente a impactos, con superficie lisa, fácil de limpiar y diseño moderno y versátil. Montaje sencillo sin herramientas complicadas y tamaño práctico para diferentes espacios. Garantía de 3 años con Rimax.;mocca;mesa-caribe-10807-rx.webp
megafiestasyumbo.com/;rimax/;Mesas/;comedor/;Mesa baru;11701-rx;Mesa Barú Rimax cuadrada, con elegante textura de imitación madera y acabado gris hielo, ideal para casa, finca u oficina. Fabricada en resina resistente al agua, fácil de limpiar y armar sin herramientas, con tacón nivelador y tapón central para parasol. Medidas: 75,3 cm de ancho × 75,3 cm de profundidad × 73,5 cm de alto. Garantía de 3 años con Rimax.;gris hielo;mesa-baru-11701-rx.webp
megafiestasyumbo.com/;rimax/;Mesas/;comedor/;Mesa baru familiar;12674-rx;Mesa Familiar Barú Rimax rectangular, con textura de imitación madera que aporta calidez y elegancia a cualquier espacio. Fácil de limpiar y armar sin herramientas, con tacones niveladores y antideslizantes en las cuatro patas y tapón central para parasol. Medidas: 153 cm de ancho × 75 cm de profundidad × 73,5 cm de alto, fabricada en material 100% reciclable. Garantía de 3 años con Rimax.;gris hielo;mesa-baru-familiar-12674-rx.webp
megafiestasyumbo.com/;rimax/;Mesas/;comedor/;Mesa eterna;7804-rx;Mesa Cuadrada Rimax de 80,5 × 80,5 cm, ideal como comedor para 4 personas, con patas cuadradas y diseño elegante tipo Rattan. Fabricada en plástico resistente, fácil de limpiar y adecuada para interiores y exteriores. Medidas: 80,5 cm de ancho × 80,5 cm de profundidad × 72,5 cm de alto. Garantía de 3 años con Rimax.;wengue;mesa-eterna-7804-rx.webp
megafiestasyumbo.com/;rimax/;Mesas/;comedor/;Mesa provenzal;8171-rx;Mesa Familiar Rimax rectangular, ideal para 6 personas, con diseño resistente y patas robustas que brindan estabilidad. Cuenta con filtro UV para uso en interiores y exteriores, es fácil de armar y limpiar, e incluye tapón central para parasol y tacones antideslizantes. Medidas: 139 cm de ancho × 86,1 cm de profundidad × 73,4 cm de alto. Garantía de 3 años con Rimax.;wengue;mesa-provenzal-8171-rx.webp
megafiestasyumbo.com/;rimax/;Mesas/;comedor/;Mesa lotus;8195-rx;Mesa Familiar Rimax rectangular, ideal para 6 personas, resistente y estable, perfecta como comedor principal o auxiliar. Cuenta con filtro UV para interiores y exteriores, tacones antideslizantes y tapón central para parasol. Fácil de armar y limpiar, con diseño clásico que se adapta a diferentes espacios. Medidas: 139,8 cm de ancho × 80 cm de profundidad × 71,4 cm de alto. Garantía de 3 años con Rimax.;wengue;mesa-lotus-8195-rx.webp
